model,event,aoi,region,aoi_name,threshold,tp,fp,fn,tn,precision,recall,f1,iou
r19,1111005,01,Madagascar,Farihy Alaotra,0.05,9989308,28975598,217056,28341802,0.2563667932369707,0.9787332687723072,0.406306690878637,0.254946600172804
r19,1111005,01,Madagascar,Farihy Alaotra,0.1,9304507,17383911,901857,39933489,0.3486346399400669,0.9116377781548846,0.5043806465640589,0.3372386465883359
r19,1111005,01,Madagascar,Farihy Alaotra,0.15,8215854,11152575,1990510,46164825,0.4241879400750572,0.804973641935561,0.5555984111199019,0.3846564663160469
r19,1111005,01,Madagascar,Farihy Alaotra,0.2,7410763,8016621,2795601,49300779,0.4803642017337483,0.7260923674679837,0.5782036243783001,0.4066711902577981
r19,1111005,01,Madagascar,Farihy Alaotra,0.25,6785301,6168162,3421063,51149238,0.523821390465237,0.6648107984390915,0.5859543769476343,0.41438152163916075
r19,1111005,01,Madagascar,Farihy Alaotra,0.3,6267108,4984787,3939256,52332613,0.5569824460679734,0.6140392406149732,0.5841208273234096,0.41254991145832204
r19,1111005,01,Madagascar,Farihy Alaotra,0.35,5832230,4157756,4374134,53159644,0.5838076249556305,0.5714307269464425,0.5775528746530932,0.4060276578029145
r19,1111005,01,Madagascar,Farihy Alaotra,0.4,5470077,3519306,4736287,53798094,0.6085041654137998,0.5359476695128648,0.5699259320306733,0.39852896069918625
r19,1111005,01,Madagascar,Farihy Alaotra,0.45,5154739,3014075,5051625,54303325,0.6310266092482948,0.5050514561307043,0.5610545922330658,0.38990679507692594
r19,1111005,01,Madagascar,Farihy Alaotra,0.5,4867183,2574758,5339181,54742642,0.6540206378954093,0.4768772699072853,0.5515751229367353,0.38081030757706563
r19,1111005,01,Madagascar,Farihy Alaotra,0.55,4630730,2410436,5575634,54906964,0.6576652219248914,0.45371005776395984,0.5369731202090966,0.36702888212542006
r19,1111005,01,Madagascar,Farihy Alaotra,0.6,4414244,2291993,5792120,55025407,0.6582296450304396,0.4324991740447431,0.5220065204636472,0.3531859427603164
r19,1111005,01,Madagascar,Farihy Alaotra,0.65,4207076,2197630,5999288,55119770,0.6568726183528174,0.4122012501219827,0.5065388322365748,0.3391710766709497
r19,1111005,01,Madagascar,Farihy Alaotra,0.7,3999511,2119627,6206853,55197773,0.6536069296034833,0.3918644288994592,0.48997096689584185,0.32447784522964523
r19,1111005,01,Madagascar,Farihy Alaotra,0.75,3784595,2053664,6421769,55263736,0.648240340142498,0.3708073707737643,0.4717586695555265,0.30869383006303086
r19,1111005,01,Madagascar,Farihy Alaotra,0.8,3549752,1995671,6656612,55321729,0.6401228544693525,0.3477979033473625,0.4507110209146429,0.29091475315387966
r19,1111005,01,Madagascar,Farihy Alaotra,0.85,3276392,1940934,6929972,55376466,0.6279829935871364,0.3210146140192531,0.42485189990203376,0.26972187559735505
r19,1111005,01,Madagascar,Farihy Alaotra,0.9,2916897,1878508,7289467,55438892,0.6082691660037056,0.285791982335727,0.3888737388237347,0.24136763715825868
r19,1111005,01,Madagascar,Farihy Alaotra,0.95,2311136,1774310,7895228,55543090,0.565699803644449,0.22644067956032138,0.3234210362438347,0.19290534071789284
r19,1111006,01,Madagascar,Ambato Boeny,0.05,2609436,9949563,79200,20788819,0.2077742023866711,0.9705426840970663,0.34227419530963327,0.2064721405320489
r19,1111006,01,Madagascar,Ambato Boeny,0.1,2466887,6219126,221749,24519256,0.2840068279888598,0.9175236067656611,0.4337517579663338,0.276936788387476
r19,1111006,01,Madagascar,Ambato Boeny,0.15,2302522,3774263,386114,26964119,0.37890463460530527,0.8563903778719023,0.5253648398633677,0.3562676749242097
r19,1111006,01,Madagascar,Ambato Boeny,0.2,2172156,2695467,516480,28042915,0.44624573431426384,0.8079025944754143,0.5749289430126733,0.403438790082582
r19,1111006,01,Madagascar,Ambato Boeny,0.25,2064798,2197727,623838,28540655,0.48440724687831743,0.7679723101230512,0.594087232334282,0.4225633666594152
r19,1111006,01,Madagascar,Ambato Boeny,0.3,1970601,1933628,718035,28804754,0.5047349937721378,0.7329370729247098,0.5977980741301392,0.42632809376530634
