control_family,control_column,control_bin,n_grids,valid_pixels,flood_pixels,r19_f1,r20_f1,r20_minus_r19_f1,r19_fp_rate_valid,r20_fp_rate_valid,r20_minus_r19_fp_rate,lambda_star,f1_winner,low_fp_winner,f1_decision_switch_from_global,low_fp_decision_switch_from_global,f1_loss_if_using_global_winner,fp_rate_penalty_if_using_global_low_fp_winner
official_hydrography,hydro_distance_bin,mid_0_5_2km,19721,981245405,98593765,0.5811555077527665,0.4535745590201635,-0.12758094873260295,0.03538734023422,0.22612178245053793,0.19073444221631794,-0.6688930811348135,r19,r19,False,False,0.0,0.0
official_hydrography,hydro_distance_bin,missing_hydrorivers,3773,186831052,11637780,0.6469304494979841,0.5582132766361858,-0.08871717286179825,0.017521766135535115,0.08978283759810976,0.07226107146257464,-1.2277312122025001,r19,r19,False,False,0.0,0.0
official_hydrography,hydro_distance_bin,near_0_500m,8426,419563571,50243079,0.5508764192979433,0.47733146361306783,-0.07354495568487546,0.05031175120778062,0.245125516390459,0.19481376518267837,-0.37751416392939063,r19,r19,False,False,0.0,0.0
official_hydrography,hydro_distance_bin,very_far_gt10km,23,795270,37497,0.1300948810830234,0.245997168754886,0.11590228767186261,0.07390697498962616,0.21381543375205905,0.1399084587624329,0.8284151558603529,r20,r19,True,False,0.11590228767186261,0.0
official_land_cover,land_background_bin,built_up,777,38702302,846854,0.35037906503282323,0.47084933475510504,0.12047026972228181,0.01132327994339975,0.03645858068080808,0.02513530073740833,4.7928716262777185,r20,r19,True,False,0.12047026972228181,0.0
official_land_cover,land_background_bin,other,40829,2032181457,185675287,0.6079001938113162,0.4557950187503954,-0.1521051750609208,0.025405720941975903,0.20384037880727499,0.17843465786529908,-0.8524418791765528,r19,r19,False,False,0.0,0.0
official_land_cover,land_background_bin,water_wetland,1630,78108829,15226396,0.3707529962134832,0.4752630774853756,0.10451008127189243,0.23190674129809322,0.3927475855514362,0.16084084425334297,0.6497732697005553,r20,r19,True,False,0.10451008127189243,0.0
official_rainfall,rain_event3d_bin,high,14412,717200053,46469146,0.4795022975451972,0.6418604836578762,0.162358186112679,0.01486622728958443,0.06108975984696421,0.04622353255737978,3.512457337853505,r20,r19,True,False,0.162358186112679,0.0
official_rainfall,rain_event3d_bin,low,14412,716703124,95980411,0.6363819166540575,0.4380865907740597,-0.19829532587999782,0.051855313246827704,0.33293804506983005,0.28108273182300236,-0.7054696124302089,r19,r19,False,False,0.0,0.0
official_rainfall,rain_event3d_bin,mid,14412,715089411,59298980,0.554617394813778,0.39863520328033697,-0.15598219153344106,0.031260862846142747,0.22919848130711587,0.19793761846097313,-0.78803712374763,r19,r19,False,False,0.0,0.0
official_water_memory,jrc_memory_control_bin,dry_or_trace,31958,1591204311,73657674,0.48099301007781464,0.2912320257842475,-0.18976098429356714,0.016367731547705693,0.2036683647471591,0.18730063319945342,-1.0131358397037225,r19,r19,False,False,0.0,0.0
official_water_memory,jrc_memory_control_bin,high,57,2854770,150781,0.12022733479203401,0.10166284769546724,-0.018564487096566773,0.7284173506096814,0.9319927699954812,0.20357541938579982,-0.09119218397082039,r19,r19,False,False,0.0,0.0
official_water_memory,jrc_memory_control_bin,low,7945,396070697,104061333,0.6780568686298737,0.7060043830507983,0.02794751442092458,0.07128702833575189,0.20655438945537544,0.13526736111962356,0.20660944509894905,r20,r19,True,False,0.02794751442092458,0.0
official_water_memory,jrc_memory_control_bin,missing_jrc_water_memory,2566,125878867,17626333,0.5467401628710911,0.5998040724023503,0.05306390953125928,0.03157197148906655,0.16847728697780542,0.13690531548873888,0.3875956849580763,r20,r19,True,False,0.05306390953125928,0.0
official_water_memory,jrc_memory_control_bin,moderate,710,32983943,6252416,0.3809181909379568,0.4213686828397441,0.04045049190178729,0.2985822525827188,0.5024337751250662,0.20385152254234734,0.19843114928604105,r20,r19,True,False,0.04045049190178729,0.0
sar_catalogue_candidate_density,sar_catalogue_candidate_density_bin,multi_candidate_source_dates,41474,2062071880,190800281,0.5892995407854874,0.45192899461620367,-0.13737054616928374,0.033019487662088676,0.20977000035517676,0.17675051269308809,-0.7772002698957697,r19,r19,False,False,0.0,0.0
sar_catalogue_candidate_density,sar_catalogue_candidate_density_bin,two_candidates_per_source_date,1762,86920708,10948256,0.4076550402682372,0.5801680004935716,0.17251296022533447,0.02407572427965037,0.1583961327144275,0.13432040843477713,1.2843391576575107,r20,r19,True,False,0.17251296022533447,0.0
sar_catalogue_pass_direction,sar_catalogue_pass_bin,all_ascending,3997,197643424,15337430,0.7078521308579032,0.5504646034786886,-0.15738752737921458,0.019370308014902637,0.1195272148290651,0.10015690681416246,-1.571409625012097,r19,r19,False,False,0.0,0.0
sar_catalogue_pass_direction,sar_catalogue_pass_bin,all_descending,25437,1266443649,153767188,0.6217835611349984,0.4363910159655855,-0.18539254516941295,0.04992668015661548,0.3028587409339995,0.252932060777384,-0.7329736870826534,r19,r19,False,False,0.0,0.0
sar_catalogue_pass_direction,sar_catalogue_pass_bin,mixed_or_ambiguous_pass_candidates,13802,684905515,32643919,0.15895853036076033,0.5512754077594301,0.3923168773986697,0.00456047576139024,0.05716325119677274,0.0526027754353825,7.45810224178368,r20,r19,True,False,0.3923168773986697,0.0
sar_catalogue_platform,sar_catalogue_platform_bin,all_sentinel_1a_candidates,30684,1525277232,170335803,0.5923260934410127,0.44675330587732415,-0.14557278756368858,0.042018874113765044,0.25794152023374595,0.2159226461199809,-0.6741895312027563,r19,r19,False,False,0.0,0.0
sar_catalogue_platform,sar_catalogue_platform_bin,all_sentinel_1b_candidates,3855,190334062,15387501,0.7076129351987991,0.5824177040184463,-0.1251952311803528,0.02010631707108736,0.10895818531945164,0.08885186824836429,-1.4090331880293083,r19,r19,False,False,0.0,0.0
sar_catalogue_platform,sar_catalogue_platform_bin,mixed_sentinel_1ab_candidates,8697,433381294,16025233,0.22536399982029612,0.4767624121340991,0.251398412313803,0.0052237764558430615,0.07420242046718334,0.06897864401134028,3.6445832752594036,r20,r19,True,False,0.251398412313803,0.0
sar_catalogue_relative_orbit,sar_catalogue_relative_orbit_bin,mixed_or_ambiguous_relative_orbit_candidates,13802,684905515,32643919,0.15895853036076033,0.5512754077594301,0.3923168773986697,0.00456047576139024,0.05716325119677274,0.0526027754353825,7.45810224178368,r20,r19,True,False,0.3923168773986697,0.0
sar_catalogue_relative_orbit,sar_catalogue_relative_orbit_bin,stable_single_relative_orbit_candidate,29434,1464087073,169104618,0.6291936895780099,0.44466619120035145,-0.18452749837765847,0.045801743787406556,0.27811002809120494,0.23230828430379838,-0.7943216443213228,r19,r19,False,False,0.0,0.0
sar_catalogue_swath,sar_catalogue_swath_bin,iw_only_candidates,38235,1902339022,185603191,0.606311351703151,0.4476307857559184,-0.15868056594723257,0.036494634866402906,0.23100918549101812,0.1945145506246152,-0.8157773566948366,r19,r19,False,False,0.0,0.0
sar_catalogue_swath,sar_catalogue_swath_bin,iw_plus_other_swath_candidates,5001,246653566,16145346,0.06168909548203766,0.6793274900485277,0.6176383945664901,0.0030653033412863773,0.027856621379639814,0.024791318038353438,24.913495668563158,r20,r19,True,False,0.6176383945664901,0.0
sar_timing,sar_post_lag_bin,1_3d,168,8429568,551382,0.1289156334558378,0.16615124270856732,0.03723560925272951,0.0032910346058066084,0.6197993776193513,0.6165083430135447,0.06039757559600688,r20,r19,True,False,0.03723560925272951,0.0
sar_timing,sar_post_lag_bin,gt10d,373,18512566,7866722,0.6516775040829867,0.9238703613576111,0.2721928572746244,0.013320843798747295,0.061177472642096185,0.04785662884334889,5.6876730319974,r20,r19,True,False,0.2721928572746244,0.0
sar_timing,sar_post_lag_bin,same_day,42695,2122050454,193330433,0.5800187462194887,0.4499361542967882,-0.1300825919227005,0.032943086187337184,0.20733320886441092,0.17439012267707374,-0.7459286680105183,r19,r19,False,False,0.0,0.0
